JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460831.747534,7.84,0.089,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.579,Z,,9.882,None,RR Lyr,AAVSO,STD,,,,
2460831.748036,7.888,0.056,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.574,Z,,9.928,None,RR Lyr,AAVSO,STD,,,,
2460831.748664,7.867,0.059,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.569,Z,,9.926,None,RR Lyr,AAVSO,STD,,,,
2460831.749032,7.877,0.069,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.566,Z,,10.006,None,RR Lyr,AAVSO,STD,,,,
2460831.749409,7.863,0.075,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.563,Z,,10.178,None,RR Lyr,AAVSO,STD,,,,
2460831.749785,7.837,0.065,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.56,Z,,10.089,None,RR Lyr,AAVSO,STD,,,,
2460831.750164,7.819,0.074,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.556,Z,,10.13,None,RR Lyr,AAVSO,STD,,,,
2460831.750541,7.899,0.058,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.553,Z,,10.074,None,RR Lyr,AAVSO,STD,,,,
2460831.751043,7.904,0.08,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.549,Z,,10.009,None,RR Lyr,AAVSO,STD,,,,
2460831.751796,7.881,0.065,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.543,Z,,9.901,None,RR Lyr,AAVSO,STD,,,,
2460831.752297,7.868,0.09,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.539,Z,,9.857,None,RR Lyr,AAVSO,STD,,,,
2460831.752799,7.849,0.075,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.535,Z,,9.875,None,RR Lyr,AAVSO,STD,,,,
2460831.753175,7.861,0.074,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.532,Z,,9.842,None,RR Lyr,AAVSO,STD,,,,
2460831.753801,7.879,0.056,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.527,Z,,9.868,None,RR Lyr,AAVSO,STD,,,,
2460831.754303,7.873,0.069,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.523,Z,,9.848,None,RR Lyr,AAVSO,STD,,,,
2460831.75468,7.838,0.064,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.52,Z,,9.842,None,RR Lyr,AAVSO,STD,,,,
2460831.755183,7.855,0.065,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.516,Z,,9.874,None,RR Lyr,AAVSO,STD,,,,
2460831.755559,7.846,0.054,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.513,Z,,9.903,None,RR Lyr,AAVSO,STD,,,,
2460831.756061,7.837,0.073,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.509,Z,,9.9,None,RR Lyr,AAVSO,STD,,,,
2460831.756437,7.876,0.07,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.506,Z,,9.833,None,RR Lyr,AAVSO,STD,,,,
2460831.756938,7.91,0.074,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.502,Z,,9.905,None,RR Lyr,AAVSO,STD,,,,
2460831.757565,7.862,0.067,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.498,Z,,9.831,None,RR Lyr,AAVSO,STD,,,,
2460831.757941,7.88,0.051,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.495,Z,,9.835,None,RR Lyr,AAVSO,STD,,,,
2460831.758317,7.872,0.072,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.492,Z,,9.846,None,RR Lyr,AAVSO,STD,,,,
2460831.758694,7.841,0.049,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.489,Z,,9.861,None,RR Lyr,AAVSO,STD,,,,
2460831.75907,7.886,0.069,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.487,Z,,9.9,None,RR Lyr,AAVSO,STD,,,,
2460831.759572,7.909,0.051,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.483,Z,,9.917,None,RR Lyr,AAVSO,STD,,,,
2460831.759948,7.908,0.066,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.48,Z,,9.847,None,RR Lyr,AAVSO,STD,,,,
2460831.760449,7.876,0.063,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.476,Z,,9.896,None,RR Lyr,AAVSO,STD,,,,
2460831.761076,7.93,0.066,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.472,Z,,9.877,None,RR Lyr,AAVSO,STD,,,,
2460831.761579,7.866,0.055,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.468,Z,,9.888,None,RR Lyr,AAVSO,STD,,,,
2460831.761954,7.884,0.067,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.466,Z,,9.878,None,RR Lyr,AAVSO,STD,,,,
2460831.762332,7.878,0.067,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.463,Z,,9.878,None,RR Lyr,AAVSO,STD,,,,
2460831.762708,7.905,0.07,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.46,Z,,9.817,None,RR Lyr,AAVSO,STD,,,,
2460831.76321,7.925,0.064,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.457,Z,,9.892,None,RR Lyr,AAVSO,STD,,,,
2460831.763837,7.928,0.072,,V,SDR,,ENSEMBLE,27085483,X40298APL,CK: V:9.496 RA:19:24:41.60 DC:+42:37:14.0,1,1.452,Z,,9.87,None,RR Lyr,AAVSO,STD,,,,
